Category,Elasticity,R_Squared,Avg_Sentiment
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,,0.8436931330472102
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1.5369845816484387,0.36138854446404045,0.9414611111111112
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",-1.7200098715632657,0.09067616817289537,0.8070666666666666
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",0.43342015803938283,0.022477829904976487,0.8085095238095238
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",-0.9302217583994802,0.18772897161199997,0.6342795918367348
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",-2.8735236193243967,0.05958833459303037,0.6433166666666668
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",-0.5076236325706334,0.18073262189374084,0.56265
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",25.812252917919178,1.0,0.96795
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,1.3834435434039336,,0.9883
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",-2.3542768849230034,0.9773412398223311,0.9552999999999999
"Electronics|HomeTheater,TV&Video|Projectors",-1.8184211281109555,0.032221699983996266,0.9405
Electronics|HomeAudio|Accessories|Adapters,1.8429087654832799,,0.9388
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",-3.2140064231765213,0.13347727299215162,0.6511999999999999
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,1.631148989995345,,0.9886
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",1.5695904513033059,,0.9734
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.6400448075368996,,-0.9808
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",0.8950966819831067,-inf,0.4988
Electronics|HomeAudio|Speakers|TowerSpeakers,0.7289069468661179,,0.9125
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",0.8140269445295677,,0.9547
Electronics|WearableTechnology|SmartWatches,0.7165877329513822,0.051032850944576325,0.8226473684210526
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,-0.898178107298699,0.05019668552822454,0.7369416666666666
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,0.2408793200180841,0.005181898741133839,0.893385294117647
Electronics|Accessories|MemoryCards|MicroSD,0.2883650584315344,0.05274909537470662,0.8068076923076923
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,-1.998341160392844,0.2087128973186657,0.8364222222222222
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",-0.5221151861238869,0.03748784550227002,0.9250173076923076
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,-1.178801719206128,0.17267254044631264,0.8956200000000001
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,-2.2825445087668688,0.23248842008037585,0.9586333333333332
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,0.29136462020625076,0.01190416948195594,0.8561125
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,1.8311290016149928,0.0,0.8822
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,1.5250386091732429,,0.9945
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,-1.9973163947586734,0.7233534508211583,0.96648
Electronics|Mobiles&Accessories|MobileAccessories|Stands,0.3295476995598643,0.008071487068152416,0.9175700000000001
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,1.7090345550320025,0.0,0.9800666666666666
Electronics|Mobiles&Accessories|MobileAccessories|Décor,3.188271996086044,0.8131014502217646,0.91944
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",1.2888172600212728,0.5242357851755456,0.9938
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,-0.6820237471394645,0.372057273314934,0.9908625
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,-1.1424844138460049,1.0,0.98355
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,-0.39609893765437176,0.48733251634533126,0.978525
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,1.0840038077123824,-inf,0.9751
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",0.7256474039622605,0.11937720891051029,0.9829625
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,4.869959643839494,1.0,0.9879000000000001
"Electronics|Headphones,Earbuds&Accessories|Adapters",1.8335638686516897,,0.5127
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,1.2448667201661487,,0.9625
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,2.0367124396330736,-inf,0.9495
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,-0.2000099343421735,0.00727316172127046,0.9187199999999999
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",0.07842241414432971,0.0009613027252973749,0.8001416666666668
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",0.6047092475518867,0.08737931763569673,0.9428818181818183
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,2.3260263394047627,0.3899070956864924,0.8844214285714286
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,0.9637094112684879,0.04505607924700228,0.9292666666666666
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",0.2461861664744466,0.07602416945787982,0.7601199999999999
MusicalInstruments|Microphones|Condenser,2.385671885254419,1.0,0.99605
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,1.818840831133159,0.4731013541228858,0.7122142857142857
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",-0.4910127618814917,1.0,0.7579
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1.9724349082829782,,0.8703
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",-0.684653804315261,0.044705291852415896,0.6747400000000001
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,1.8729490806746982,0.6544656841645864,0.8826166666666667
Electronics|Cameras&Photography|VideoCameras,1.3074016150743926,-inf,0.8687
